file_id,種別,パス,ファイル名,名前乖離,旧版/重複,内容の要点（ゴールド記述）,備考
A001,docx,共有/企画部/会議/新しいMicrosoft Word 文書 (3).docx,新しいMicrosoft Word 文書 (3).docx,あり,,定例会議議事録。佐藤がセンサー納期6月末と報告、追加予算120万円承認,
A002,docx,share_old/bk/20260512_mtg.docx,20260512_mtg.docx,あり,,障害レビュー議事録。原因は証明書期限切れ、停止42分、監視二段階化を決定,
A003,docx,共有/営業部/A案件_鈴木/最終版_v2(コピー).docx,最終版_v2(コピー).docx,あり,,アオバ物流向け営業戦略。9月コンペ・競合2社・保守体制を訴求,
A004,docx,共有/総務部/委員会/安全衛生委員会議事録_2026年6月.docx,安全衛生委員会議事録_2026年6月.docx,なし,,安全衛生委員会。倉庫B照度不足→9月までにLED交換、ヒヤリハット3件,
A005,docx,共有/情報システム/検討会/システム更改検討会_第2回.docx,システム更改検討会_第2回.docx,なし,,FS更改検討。2027年3月保守切れ、リプレース480万円、退避案を検討,
A006,pptx,プロジェクト/PJ-AQUA/資料/資料.pptx,資料.pptx,あり,,AQUAFLOW企画。水質センサー+クラウド監視、月額モデル、初年度目標8000万円,
A007,pptx,プロジェクト/TSUBAME/TSUBAME_提案_アオバ物流様.pptx,TSUBAME_提案_アオバ物流様.pptx,なし,,TSUBAME提案。配送ルートAI最適化、燃料費12%削減見込み,
A008,pptx,共有/人事/研修/新人研修制度企画_2027年度.pptx,新人研修制度企画_2027年度.pptx,なし,,新人研修企画。メンター手当月5000円、OJT計画書を四半期レビュー,
A009,pptx,共有/企画部/展示会/幕張展示会_出展計画_2026.pptx,幕張展示会_出展計画_2026.pptx,なし,,展示会計画。11月幕張、デモ機2台、説明員4名シフト,
A010,pptx,共有/総務部/環境/環境施策ロードマップ.pptx,環境施策ロードマップ.pptx,なし,,環境施策。2030年CO2を30%削減、太陽光パネル検討,
A011,pdf,開発/KODAMA/kodama_api_v0.9_draft_old.pdf,kodama_api_v0.9_draft_old.pdf,あり,,KODAMA API仕様。トークン認証、上限5GB、レート制限60req/分(最終セクション),
A012,pdf,共有/情報システム/手順書/バックアップ運用手順書.pdf,バックアップ運用手順書.pdf,なし,,バックアップ手順。日次差分/週次フル、保存90日(2章)、責任者高橋,
A013,pdf,共有/総務部/規程/入退室管理規程.pdf,入退室管理規程.pdf,なし,,入退室規程。来訪者は記帳、機械室は二重認証(3章),
A014,pdf,共有/経理/マニュアル/経費精算マニュアル_2026年版.pdf,経費精算マニュアル_2026年版.pdf,なし,,経費マニュアル。締め毎月5日、5万円超は事前申請(3章),
A015,pdf,撮影素材管理/機材/撮影機材取扱手順.pdf,撮影機材取扱手順.pdf,なし,,機材手順。持出は台帳記入、バッテリーは50%保管(2章),
A016,pdf,共有/広報/ブランドガイドライン_v3.pdf,ブランドガイドライン_v3.pdf,なし,,ブランドガイド。ロゴ最小24px(1章)、深緑#1B4D3E,
A017,pdf,共有/総務部/BCP/災害対応手順書_BCP.pdf,災害対応手順書_BCP.pdf,なし,,BCP。安否確認3時間以内、代替拠点は札幌支店(2章),
A018,pdf,共有/総務部/規程/個人情報取扱規程.pdf,個人情報取扱規程.pdf,なし,,個人情報規程。開示請求2週間以内(2章)、委託先監査年1回,
A019,docx,共有/企画部/調査/ドローン点検市場調査報告_2026.docx,ドローン点検市場調査報告_2026.docx,なし,,ドローン市場調査。2030年1200億円予測、橋梁点検が最大用途,
A020,docx,共有/営業部/調査/顧客満足度調査_2026上期_報告.docx,顧客満足度調査_2026上期_報告.docx,なし,,顧客満足度調査。NPS+12、不満最多は回答の遅さ、改善案3点,
A021,docx,共有/情報システム/インシデント/インシデント報告_20260603.docx,インシデント報告_20260603.docx,なし,,誤送信インシデント。6/3見積書誤送信、URL無効化で対応、宛先二重確認をルール化,
A022,docx,共有/品質保証/監査/工場監査報告_ミカド精機_2026.docx,工場監査報告_ミカド精機_2026.docx,なし,,ミカド精機監査。評価B、是正2件(校正期限切れ・施錠記録漏れ),
A023,docx,プロジェクト/TSUBAME/実証実験/TSUBAME実証実験_結果報告.docx,TSUBAME実証実験_結果報告.docx,なし,,TSUBAME実証結果。燃料費9.8%削減、雨天時の精度低下が課題,
A024,docx,田中さん引継/デスクトップ/伊藤引継メモ.docx,伊藤引継メモ.docx,なし,,伊藤引継書。アオバ物流窓口は小林様、契約更新は毎年10月,
A025,xlsx,共有/経理/予算/予算管理表_2026年度.xlsx,予算管理表_2026年度.xlsx,なし,,予算管理表。企画部の下期残420万円,
A026,xlsx,撮影素材管理/機材/機材台帳.xlsx,機材台帳.xlsx,なし,,機材台帳。カメラ12台・ドローン3台、EOS-R5はXR-1102、次回点検2026-10,
A027,xlsx,共有/営業部/顧客リスト_模擬.xlsx,顧客リスト_模擬.xlsx,なし,,顧客リスト24社想定の抜粋。ランクA=アオバ物流・ミカド精機,
A028,xlsx,プロジェクト/PJ-AQUA/工程表_PJAQUA.xlsx,工程表_PJAQUA.xlsx,なし,,PJ-AQUA工程。β9月・量産判定12月,
A029,xlsx,倉庫B関連/在庫/在庫一覧_倉庫B_最新.xlsx,在庫一覧_倉庫B_最新.xlsx,なし,,倉庫B在庫。センサーユニット280、発注点200,
A030,xlsx,共有/経理/経費/経費集計_2026上期.xlsx,経費集計_2026上期.xlsx,なし,,経費集計。交通費合計182万円、最多は営業部78万円,
A031,pdf,契約書/2026/業務委託基本契約_アオバ物流_模擬.pdf,業務委託基本契約_アオバ物流_模擬.pdf,なし,,アオバ物流基本契約。月末締め翌月末払い(2章)、1年自動更新、再委託は事前承諾(4章),
A032,pdf,契約書/2026/秘密保持契約_ミカド精機_模擬.pdf,秘密保持契約_ミカド精機_模擬.pdf,なし,,ミカド精機NDA。有効期間5年(3章),
A033,pdf,契約書/2026/保守契約_トチノキ設計_模擬.pdf,保守契約_トチノキ設計_模擬.pdf,なし,,トチノキ設計保守契約。平日9-18時、初動4時間(2章),
A034,pdf,契約書/2026/倉庫B賃貸借契約_模擬.pdf,倉庫B賃貸借契約_模擬.pdf,なし,,倉庫B賃貸借。月額48万円(2章)、2028年3月まで,
A035,pptx,共有/情報システム/検討会/動画配信基盤更改_比較3案.pptx,動画配信基盤更改_比較3案.pptx,なし,,配信基盤更改3案比較。保守2027年9月まで、案3ハイブリッド推奨,
A036,docx,田中さん引継/デスクトップ/伊藤PC棚卸しメモ.docx,伊藤PC棚卸しメモ.docx,なし,,退職者PC棚卸し。未整理47件回収、整理期限8月末,
A037,pdf,共有/品質保証/基準書/品質検査基準書_ミカド精機向け.pdf,品質検査基準書_ミカド精機向け.pdf,なし,,ミカド精機向け検査基準。AQL1.0(2章),
A038,docx,共有/経理/会議/予算会議議事録_2026年7月.docx,予算会議議事録_2026年7月.docx,なし,,予算会議。広告費200万円増額、展示会は現状維持,
D001,docx,共有/週報/営業部/週報_営業部_2026年5月_第1週.docx,週報_営業部_2026年5月_第1週.docx,なし,,週報（定型・特記なし）,ノイズ
D002,docx,共有/週報/営業部/週報_営業部_2026年5月_第2週.docx,週報_営業部_2026年5月_第2週.docx,なし,,週報（定型・特記なし）,ノイズ
D003,docx,共有/週報/営業部/週報_営業部_2026年5月_第3週.docx,週報_営業部_2026年5月_第3週.docx,なし,,週報（定型・特記なし）,ノイズ
D004,docx,共有/週報/営業部/週報_営業部_2026年5月_第4週.docx,週報_営業部_2026年5月_第4週.docx,なし,,週報（定型・特記なし）,ノイズ
D005,docx,共有/週報/営業部/週報_営業部_2026年6月_第1週.docx,週報_営業部_2026年6月_第1週.docx,なし,,週報（定型・特記なし）,ノイズ
D006,docx,共有/週報/営業部/週報_営業部_2026年6月_第2週.docx,週報_営業部_2026年6月_第2週.docx,なし,,週報（定型・特記なし）,ノイズ
D007,docx,共有/週報/企画部/週報_企画部_2026年5月_第1週.docx,週報_企画部_2026年5月_第1週.docx,なし,,週報（定型・特記なし）,ノイズ
D008,docx,共有/週報/企画部/週報_企画部_2026年5月_第2週.docx,週報_企画部_2026年5月_第2週.docx,なし,,週報（定型・特記なし）,ノイズ
D009,docx,共有/週報/企画部/週報_企画部_2026年5月_第3週.docx,週報_企画部_2026年5月_第3週.docx,なし,,週報（定型・特記なし）,ノイズ
D010,docx,共有/週報/企画部/週報_企画部_2026年5月_第4週.docx,週報_企画部_2026年5月_第4週.docx,なし,,週報（定型・特記なし）,ノイズ
D011,docx,共有/週報/企画部/週報_企画部_2026年6月_第1週.docx,週報_企画部_2026年6月_第1週.docx,なし,,週報（定型・特記なし）,ノイズ
D012,docx,共有/週報/企画部/週報_企画部_2026年6月_第2週.docx,週報_企画部_2026年6月_第2週.docx,なし,,週報（定型・特記なし）,ノイズ
D013,docx,共有/週報/開発部/週報_開発部_2026年5月_第1週.docx,週報_開発部_2026年5月_第1週.docx,なし,,週報（定型・特記なし）,ノイズ
D014,docx,共有/週報/開発部/週報_開発部_2026年5月_第2週.docx,週報_開発部_2026年5月_第2週.docx,なし,,週報（定型・特記なし）,ノイズ
D015,docx,共有/週報/開発部/週報_開発部_2026年5月_第3週.docx,週報_開発部_2026年5月_第3週.docx,なし,,週報（定型・特記なし）,ノイズ
D016,docx,共有/週報/開発部/週報_開発部_2026年5月_第4週.docx,週報_開発部_2026年5月_第4週.docx,なし,,週報（定型・特記なし）,ノイズ
D017,docx,共有/週報/開発部/週報_開発部_2026年6月_第1週.docx,週報_開発部_2026年6月_第1週.docx,なし,,週報（定型・特記なし）,ノイズ
D018,docx,共有/週報/開発部/週報_開発部_2026年6月_第2週.docx,週報_開発部_2026年6月_第2週.docx,なし,,週報（定型・特記なし）,ノイズ
D019,docx,共有/週報/総務部/週報_総務部_2026年5月_第1週.docx,週報_総務部_2026年5月_第1週.docx,なし,,週報（定型・特記なし）,ノイズ
D020,docx,共有/週報/総務部/週報_総務部_2026年5月_第2週.docx,週報_総務部_2026年5月_第2週.docx,なし,,週報（定型・特記なし）,ノイズ
D021,docx,共有/週報/総務部/週報_総務部_2026年5月_第3週.docx,週報_総務部_2026年5月_第3週.docx,なし,,週報（定型・特記なし）,ノイズ
D022,docx,共有/週報/総務部/週報_総務部_2026年5月_第4週.docx,週報_総務部_2026年5月_第4週.docx,なし,,週報（定型・特記なし）,ノイズ
D023,docx,共有/週報/総務部/週報_総務部_2026年6月_第1週.docx,週報_総務部_2026年6月_第1週.docx,なし,,週報（定型・特記なし）,ノイズ
D024,docx,共有/週報/総務部/週報_総務部_2026年6月_第2週.docx,週報_総務部_2026年6月_第2週.docx,なし,,週報（定型・特記なし）,ノイズ
D025,pdf,共有/経理/請求書/2026/20260105_請求書.pdf,20260105_請求書.pdf,なし,,1月分請求書（模擬・定型）,ノイズ
D026,pdf,共有/経理/請求書/2026/20260205_請求書.pdf,20260205_請求書.pdf,なし,,2月分請求書（模擬・定型）,ノイズ
D027,pdf,共有/経理/請求書/2026/スキャン_0003.pdf,スキャン_0003.pdf,あり,,3月分請求書（模擬・定型）,ノイズ
D028,pdf,共有/経理/請求書/2026/20260405_請求書.pdf,20260405_請求書.pdf,なし,,4月分請求書（模擬・定型）,ノイズ
D029,pdf,共有/経理/請求書/2026/20260505_請求書.pdf,20260505_請求書.pdf,なし,,5月分請求書（模擬・定型）,ノイズ
