drive_id,file_id,名前乖離,タグ,判定,判定根拠,ゴールド記述内に文字列出現
182,A005,なし,ファイルサーバー,TP,本文またはゴールド記述に支持される,0
182,A005,なし,更改検討会,TP,本文またはゴールド記述に支持される,0
182,A005,なし,クラウド移行,TP,本文またはゴールド記述に支持される,0
182,A005,なし,情報システム部,TP,本文またはゴールド記述に支持される,0
182,A005,なし,保守期限,TP,本文またはゴールド記述に支持される,0
182,A005,なし,リプレース,TP,本文またはゴールド記述に支持される,1
205,A013,なし,入退室管理規程,TP,本文またはゴールド記述に支持される,0
205,A013,なし,セキュリティ,TP,本文またはゴールド記述に支持される,0
205,A013,なし,入館カード,TP,本文またはゴールド記述に支持される,0
205,A013,なし,来訪者管理,TP,本文またはゴールド記述に支持される,0
205,A013,なし,機械室,TP,本文またはゴールド記述に支持される,1
205,A013,なし,生体認証,TP,本文またはゴールド記述に支持される,0
125,A027,なし,顧客リスト,TP,本文またはゴールド記述に支持される,1
125,A027,なし,顧客管理,TP,本文またはゴールド記述に支持される,0
125,A027,なし,アオバ物流,TP,本文またはゴールド記述に支持される,1
125,A027,なし,ミカド精機,TP,本文またはゴールド記述に支持される,1
125,A027,なし,架空データ,TP,本文またはゴールド記述に支持される,0
76,A034,なし,賃貸借契約書,TP,本文またはゴールド記述に支持される,0
76,A034,なし,倉庫B,TP,本文またはゴールド記述に支持される,1
76,A034,なし,不動産,TP,本文またはゴールド記述に支持される,0
76,A034,なし,港湾地区,TP,本文またはゴールド記述に支持される,0
76,A034,なし,月額賃料,TP,本文またはゴールド記述に支持される,0
76,A034,なし,契約期間,TP,本文またはゴールド記述に支持される,0
73,A036,なし,PC棚卸し,TP,本文またはゴールド記述に支持される,1
73,A036,なし,伊藤,TP,本文またはゴールド記述に支持される,0
73,A036,なし,田中,TP,本文またはゴールド記述に支持される,0
73,A036,なし,ファイル回収,TP,本文またはゴールド記述に支持される,0
73,A036,なし,引き継ぎ,TP,本文またはゴールド記述に支持される,0
73,A036,なし,見積関連,TP,本文またはゴールド記述に支持される,0
73,A036,なし,写真素材,TP,本文またはゴールド記述に支持される,0
73,A036,なし,整理期限,TP,本文またはゴールド記述に支持される,1
159,D003,なし,営業部,TP,本文またはゴールド記述に支持される,0
159,D003,なし,週報,TP,本文またはゴールド記述に支持される,1
159,D003,なし,業務報告,TP,本文またはゴールド記述に支持される,0
159,D003,なし,定例訪問,TP,本文またはゴールド記述に支持される,0
159,D003,なし,社内打合せ,TP,本文またはゴールド記述に支持される,0
160,D004,なし,営業部,TP,本文またはゴールド記述に支持される,0
160,D004,なし,週報,TP,本文またはゴールド記述に支持される,1
160,D004,なし,定例訪問,TP,本文またはゴールド記述に支持される,0
160,D004,なし,資料作成,TP,本文またはゴールド記述に支持される,0
160,D004,なし,社内打合せ,TP,本文またはゴールド記述に支持される,0
169,D007,なし,企画部,TP,本文またはゴールド記述に支持される,0
169,D007,なし,週報,TP,本文またはゴールド記述に支持される,1
169,D007,なし,定例訪問,TP,本文またはゴールド記述に支持される,0
169,D007,なし,資料作成,TP,本文またはゴールド記述に支持される,0
169,D007,なし,社内打合せ,TP,本文またはゴールド記述に支持される,0
172,D010,なし,企画部,TP,本文またはゴールド記述に支持される,0
172,D010,なし,週報,TP,本文またはゴールド記述に支持される,1
172,D010,なし,定例訪問,TP,本文またはゴールド記述に支持される,0
172,D010,なし,資料作成,TP,本文またはゴールド記述に支持される,0
172,D010,なし,社内打合せ,TP,本文またはゴールド記述に支持される,0
164,D014,なし,開発部,TP,本文またはゴールド記述に支持される,0
164,D014,なし,週報,TP,本文またはゴールド記述に支持される,1
164,D014,なし,定例訪問,TP,本文またはゴールド記述に支持される,0
164,D014,なし,社内打合せ,TP,本文またはゴールド記述に支持される,0
164,D014,なし,業務報告,TP,本文またはゴールド記述に支持される,0
165,D015,なし,開発部,TP,本文またはゴールド記述に支持される,0
165,D015,なし,週報,TP,本文またはゴールド記述に支持される,1
165,D015,なし,定例訪問,TP,本文またはゴールド記述に支持される,0
165,D015,なし,業務報告,TP,本文またはゴールド記述に支持される,0
165,D015,なし,社内打合せ,TP,本文またはゴールド記述に支持される,0
177,D021,なし,総務部,TP,本文またはゴールド記述に支持される,0
177,D021,なし,週報,TP,本文またはゴールド記述に支持される,1
177,D021,なし,業務報告,TP,本文またはゴールド記述に支持される,0
177,D021,なし,定例訪問,TP,本文またはゴールド記述に支持される,0
177,D021,なし,社内打合せ,TP,本文またはゴールド記述に支持される,0
180,D024,なし,総務部,TP,本文またはゴールド記述に支持される,0
180,D024,なし,週報,TP,本文またはゴールド記述に支持される,1
180,D024,なし,定例訪問,TP,本文またはゴールド記述に支持される,0
180,D024,なし,資料作成,TP,本文またはゴールド記述に支持される,0
180,D024,なし,社内打合せ,TP,本文またはゴールド記述に支持される,0
148,D034,なし,請求書,TP,本文またはゴールド記述に支持される,1
148,D034,なし,業務委託料,TP,本文またはゴールド記述に支持される,0
148,D034,なし,模擬文書,TP,本文またはゴールド記述に支持される,0
148,D034,なし,2026年10月,TP,本文またはゴールド記述に支持される,0
148,D034,なし,経理,TP,本文またはゴールド記述に支持される,0
153,D036,あり,請求書,TP,本文またはゴールド記述に支持される,1
153,D036,あり,模擬文書,TP,本文またはゴールド記述に支持される,0
153,D036,あり,業務委託料,TP,本文またはゴールド記述に支持される,0
153,D036,あり,2026年12月,TP,本文またはゴールド記述に支持される,0
153,D036,あり,支払期限,TP,本文またはゴールド記述に支持される,0
131,D042,なし,定例会議,TP,本文またはゴールド記述に支持される,0
131,D042,なし,アジェンダ,TP,本文またはゴールド記述に支持される,1
131,D042,なし,進捗共有,TP,本文またはゴールド記述に支持される,0
131,D042,なし,宿題確認,TP,本文またはゴールド記述に支持される,0
131,D042,なし,会議資料,TP,本文またはゴールド記述に支持される,0
85,D049,なし,在庫管理,TP,本文またはゴールド記述に支持される,0
85,D049,なし,2026年3月,TP,本文またはゴールド記述に支持される,0
85,D049,なし,水質センサ,TP,本文またはゴールド記述に支持される,0
85,D049,なし,通信モジュール,TP,本文またはゴールド記述に支持される,0
85,D049,なし,在庫報告,TP,本文またはゴールド記述に支持される,0
87,D051,なし,在庫管理,TP,本文またはゴールド記述に支持される,0
87,D051,なし,水質センサ,TP,本文またはゴールド記述に支持される,0
87,D051,なし,通信モジュール,TP,本文またはゴールド記述に支持される,0
87,D051,なし,2026年5月,TP,本文またはゴールド記述に支持される,0
87,D051,なし,棚卸,TP,本文またはゴールド記述に支持される,0
92,D055,あり,定例会議,TP,本文またはゴールド記述に支持される,0
92,D055,あり,進捗共有,TP,本文またはゴールド記述に支持される,0
92,D055,あり,課題確認,TP,本文またはゴールド記述に支持される,0
92,D055,あり,旧サーバー,TP,本文またはゴールド記述に支持される,0
92,D055,あり,データ移行,TP,本文またはゴールド記述に支持される,0
94,D057,あり,定例会議,TP,本文またはゴールド記述に支持される,0
94,D057,あり,進捗共有,TP,本文またはゴールド記述に支持される,0
94,D057,あり,課題確認,TP,本文またはゴールド記述に支持される,0
94,D057,あり,サーバー移行,TP,本文またはゴールド記述に支持される,0
94,D057,あり,ビジネスコミュニケーション,FP,本文の内容ではなく一般カテゴリ。ファイル固有の内容を指していない,0
97,D060,あり,定例会議,TP,本文またはゴールド記述に支持される,0
97,D060,あり,進捗共有,TP,本文またはゴールド記述に支持される,0
97,D060,あり,課題確認,TP,本文またはゴールド記述に支持される,0
97,D060,あり,旧サーバー,TP,本文またはゴールド記述に支持される,0
97,D060,あり,会議メモ,TP,本文またはゴールド記述に支持される,1
189,G004,あり,配置図,TP,本文またはゴールド記述に支持される,1
189,G004,あり,太陽光パネル,TP,本文またはゴールド記述に支持される,1
189,G004,あり,屋上配置案,TP,本文またはゴールド記述に支持される,1
189,G004,あり,設計図,TP,本文またはゴールド記述に支持される,0
189,G004,あり,S-101,TP,本文またはゴールド記述に支持される,1
189,G004,あり,グリッド線,TP,本文またはゴールド記述に支持される,0
192,G007,あり,組立図,TP,本文またはゴールド記述に支持される,1
192,G007,あり,M-401,TP,本文またはゴールド記述に支持される,1
192,G007,あり,AQUAFLOW,TP,本文またはゴールド記述に支持される,1
192,G007,あり,センサーユニット,TP,本文またはゴールド記述に支持される,1
192,G007,あり,グリッド,TP,本文またはゴールド記述に支持される,0
192,G007,あり,設計図,TP,本文またはゴールド記述に支持される,0
192,G007,あり,テクニカルイラスト,TP,本文またはゴールド記述に支持される,0
195,G010,あり,平面図,TP,本文またはゴールド記述に支持される,1
195,G010,あり,展示会ブース,TP,本文またはゴールド記述に支持される,1
195,G010,あり,小間割り案,TP,本文またはゴールド記述に支持される,1
195,G010,あり,グリッド,TP,本文またはゴールド記述に支持される,0
195,G010,あり,図面,TP,本文またはゴールド記述に支持される,1
195,G010,あり,設計図,TP,本文またはゴールド記述に支持される,0
111,G019,あり,倉庫B,TP,本文またはゴールド記述に支持される,1
111,G019,あり,保管棚,TP,本文またはゴールド記述に支持される,1
111,G019,あり,在庫棚,TP,本文またはゴールド記述に支持される,1
111,G019,あり,現場写真,TP,本文またはゴールド記述に支持される,1
111,G019,あり,全景,TP,本文またはゴールド記述に支持される,1
111,G019,あり,プレースホルダー,TP,本文またはゴールド記述に支持される,0
113,G020,あり,AQUAFLOW,TP,本文またはゴールド記述に支持される,1
113,G020,あり,デモ機,TP,本文またはゴールド記述に支持される,1
113,G020,あり,現場写真,TP,本文またはゴールド記述に支持される,1
113,G020,あり,正面,TP,本文またはゴールド記述に支持される,1
113,G020,あり,プレースホルダー,TP,本文またはゴールド記述に支持される,0
113,G020,あり,グラフィック,TP,本文またはゴールド記述に支持される,0
119,G028,あり,ハギ写真館,TP,本文またはゴールド記述に支持される,1
