drive_id,file_id,名前乖離,種別,言明番号,言明,判定,判定根拠
182,A005,なし,docx,1,第2回ファイルサーバー更改検討会の記録である,正,本文表題「ファイルサーバー更改検討会（第2回）」
182,A005,なし,docx,2,現行サーバーの保守期限切れに伴うリプレース見積りが記載されている,正,本文「2027年3月に保守切れ。リプレース見積は480万円」
182,A005,なし,docx,3,クラウド活用によるサーバー小型化の代替案が記載されている,正,本文「低頻度データをクラウドへ退避しサーバーを小型化する案」
182,A005,なし,docx,4,次回までの調査事項が記載されている,正,本文「次回までに、過去1年アクセスのないデータ量を情報システム部が集計」
205,A013,なし,pdf,1,入退室に関する管理ルールを定めた規程である,正,本文表題「入退室管理規程」
205,A013,なし,pdf,2,模擬文書である,未確認,本文に「模擬」の記載はない。コーパスとしては模擬だが文書自身は宣言していない
205,A013,なし,pdf,3,カードの管理について記述されている,正,本文「入館カードは総務部が貸与し、退職時に返却する」
205,A013,なし,pdf,4,来訪者の対応について記述されている,正,本文「来訪者は受付で記帳し、来訪者バッジを着用する」
205,A013,なし,pdf,5,重要区画である機械室のセキュリティについて記述されている,正,本文「機械室への入室はカードと生体認証の二重認証」
125,A027,なし,xlsx,1,アオバ物流やミカド精機などの会社情報を含む,正,本文の社名列にアオバ物流株式会社・ミカド精機株式会社
125,A027,なし,xlsx,2,架空の会社情報である,正,本文表題「顧客リスト（模擬）」
125,A027,なし,xlsx,3,サンプル用の顧客リスト資料である,正,同上
76,A034,なし,pdf,1,倉庫Bに関する模擬の賃貸借契約書である,正,本文表題「倉庫B 賃貸借契約書（模擬）」
76,A034,なし,pdf,2,物件の所在地が記載されている,正,本文「所在: （架空）港湾地区2-4」
76,A034,なし,pdf,3,月額賃料が記載されている,正,本文「月額賃料は48万円」
76,A034,なし,pdf,4,契約の有効期間が記載されている,正,本文「契約期間は2028年3月31日まで」
73,A036,なし,docx,1,退職者のPCから回収した未整理ファイルの棚卸し結果である,正,本文「伊藤の退職に伴い、PCデスクトップから未整理ファイル47件を回収」
73,A036,なし,docx,2,保管場所について記されている,正,本文「回収先はこのフォルダ（田中さん引継）に一時保管」
73,A036,なし,docx,3,整理期限について記されている,正,本文「整理期限は8月末」
159,D003,なし,docx,1,営業部における一週間の活動実績の報告書である,正,本文「営業部 週報」
159,D003,なし,docx,2,活動が定例訪問・資料作成・社内打合せである,正,本文「定例訪問3件、資料作成、社内打合せ」
