drive_id,file_id,名前乖離,ファイル名,概要文字数,タグ数,entities数,persons数,locations数,概要に数字あり,タグ集合,概要
70,X002,なし,kodama_api_v0.8.pdf,106,7,1,0,0,1,KODAMA API|REST API|認証|ファイルアップロード|検索API|エラーコード|レート制限,KODAMA APIのバージョン0.9ドラフト仕様を記載した模擬文書。認証方式、ファイルアップロードおよび検索APIのエンドポイント、エラーコードの定義、およびAPIの利用制限（レート制限）について規定している。
71,A011,あり,kodama_api_v0.9_draft_old.pdf,92,7,1,0,0,0,KODAMA API|API仕様書|認証|ファイルアップロード|検索API|エラーコード|レート制限,「KODAMA API」の仕様をまとめたドラフト段階の仕様書です。認証方式、ファイルアップロード機能、検索機能、エラー定義、およびレート制限に関する基本的な技術仕様が記載されています。
72,X004,なし,ドローン市場調査(ドラフト).docx,85,6,1,0,0,1,ドローン|点検市場|インフラ点検|市場規模|市場予測|橋梁点検,ドローンを用いた点検市場に関する市場調査報告書です。2030年に向けた市場規模の予測、主要な用途セグメント、市場参入における傾向と自社の強みについて簡潔にまとめています。
73,A036,なし,伊藤PC棚卸しメモ.docx,50,8,2,2,0,0,PC棚卸し|伊藤|田中|ファイル回収|引き継ぎ|見積関連|写真素材|整理期限,退職者のPCから回収した未整理ファイルの棚卸し結果と、その保管場所、整理期限について記した業務メモ。
74,A024,なし,伊藤引継メモ.docx,83,6,4,3,0,1,引継書|アオバ物流|トチノキ設計|ハギ写真館|顧客管理|契約更新,伊藤から後任へ宛てた業務引継書。担当する8社の顧客リストや、アオバ物流の連絡先・契約更新時期、共有フォルダ内での見積資料の管理に関する注意点が簡潔にまとめられている。
75,A031,なし,業務委託基本契約_アオバ物流_模擬.pdf,75,6,1,0,0,0,業務委託基本契約書|アオバ物流株式会社|模擬文書|支払条件|契約期間|再委託,アオバ物流株式会社による、業務委託取引の基本条件を定めた模擬契約書です。目的・範囲、支払条件、契約期間、再委託に関する基本的な条項が記載されています。
76,A034,なし,倉庫B賃貸借契約_模擬.pdf,67,6,1,0,1,0,賃貸借契約書|倉庫B|不動産|港湾地区|月額賃料|契約期間,倉庫Bに関する模擬の賃貸借契約書です。物件の所在地、月額賃料、および契約の有効期間といった基本的な契約条件が簡潔にまとめられています。
77,A032,なし,秘密保持契約_ミカド精機_模擬.pdf,74,6,1,0,0,1,秘密保持契約書|ミカド精機株式会社|模擬文書|NDA|機密保持|契約条項,ミカド精機株式会社が作成した模擬の秘密保持契約書です。秘密情報の定義、目的外使用の禁止、および5年間の有効期間に関する基本的な条項が含まれています。
78,A033,なし,保守契約_トチノキ設計_模擬.pdf,72,5,1,0,0,0,保守契約|株式会社トチノキ設計|模擬文書|サービスレベル|保守料金,株式会社トチノキ設計の模擬的な保守契約書です。サポートの対応時間、障害時の初動目標時間、および月額の保守料金に関する基本事項が記載されています。
79,A006,あり,資料.pptx,96,7,1,0,0,0,AQUAFLOW|浄水場|水質センサー|クラウド監視|製品企画|ビジネスモデル|スケジュール,浄水場向けの水質センサーとクラウド監視を組み合わせたパッケージ製品「AQUAFLOW」の製品企画提案資料です。製品の機能概要、収益モデル、および開発スケジュールについて簡潔に記載されています。
80,A028,なし,工程表_PJAQUA.xlsx,50,8,1,0,0,0,PJ-AQUA|工程表|マイルストーン|プロジェクト管理|進捗状況|ベータ版|量産判定|初回出荷,プロジェクト「PJ-AQUA」における主要なマイルストーンの期日と進捗状況をまとめた工程表資料です。
81,A023,なし,TSUBAME実証実験_結果報告.docx,67,5,2,0,0,0,TSUBAME|実証実験|燃料費削減|アオバ物流|物流効率化,TSUBAMEシステムの物流実証実験に関する結果報告書。アオバ物流の協力のもと、燃料費削減効果の検証と運用上の課題がまとめられている。
82,A007,なし,TSUBAME_提案_アオバ物流様.pptx,118,6,1,0,0,1,TSUBAME|配送ルート最適化|AI|燃料費削減|物流|実証実験,AIを活用した配送ルート最適化サービス「TSUBAME」の導入提案資料です。配送ルートの属人化や燃料費増加といった課題に対し、AIによる最適化で12%の燃料費削減を見込む解決策と、2週間の実証実験から始める導入ステップを提示しています。
83,D047,なし,在庫スナップショット_202601.xlsx,56,5,2,0,0,1,水質センサ|通信モジュール|在庫管理|2026年1月|在庫数,2026年1月時点の特定品目の在庫状況を記載した文書です。水質センサと通信モジュールの在庫数が記録されています。
84,D048,なし,在庫スナップショット_202602.xlsx,55,5,2,0,0,1,在庫管理|水質センサ|通信モジュール|2026年|在庫数,2026年2月時点の在庫状況を記録した管理資料です。水質センサと通信モジュールの在庫数がリスト化されています。
85,D049,なし,在庫スナップショット_202603.xlsx,57,5,2,0,0,1,在庫管理|2026年3月|水質センサ|通信モジュール|在庫報告,2026年3月時点の製品在庫状況をまとめた資料です。水質センサと通信モジュールの具体的な在庫数が記載されています。
86,D050,なし,在庫スナップショット_202604.xlsx,58,5,2,0,0,1,水質センサ|通信モジュール|在庫管理|2026年4月|在庫数,2026年4月時点における特定の品目の在庫状況をまとめた文書。水質センサと通信モジュールの在庫数が記録されています。
87,D051,なし,在庫スナップショット_202605.xlsx,61,5,2,0,0,1,在庫管理|水質センサ|通信モジュール|2026年5月|棚卸,2026年5月時点における製品の在庫状況を記録した文書です。水質センサと通信モジュールの具体的な在庫数が記載されています。
88,D052,なし,在庫スナップショット_202606.xlsx,46,5,2,0,0,1,在庫管理|水質センサ|通信モジュール|2026年6月|在庫数,2026年6月時点における水質センサおよび通信モジュールの在庫状況を記載した在庫管理表です。
89,A029,なし,在庫一覧_倉庫B_最新.xlsx,97,6,3,0,1,1,倉庫B|在庫一覧|在庫管理|水質センサ|通信モジュール|筐体,倉庫Bにおける特定品目の在庫状況を管理するための文書です。水質センサ、通信モジュール、筐体の3つの品目について、現在の在庫数、補充の基準となる発注点、および単価が一覧表形式でまとめられています。
90,D053,あり,mtg_bk_01.docx,65,4,1,0,0,0,旧定例会議|進捗共有|課題確認|プロジェクト管理,旧サーバーから退避された過去の定例会議の内容を簡潔にまとめたメモです。進捗の共有と現状の課題確認が行われたことが記録されています。
91,D054,あり,mtg_bk_02.docx,58,5,1,0,0,0,旧定例会議|進捗共有|課題確認|プロジェクト管理|アーカイブ,旧サーバーから退避された定例会議の簡略なメモ資料です。会議における進捗共有と課題確認の実施について記録されています。
92,D055,あり,mtg_bk_03.docx,52,5,1,0,0,1,定例会議|進捗共有|課題確認|旧サーバー|データ移行,旧サーバーから退避された第3回定例会議のメモです。進捗共有と課題確認が行われたことを示す簡略な記録です。
93,D056,あり,mtg_bk_04.docx,49,4,1,0,0,0,定例会議|進捗共有|課題確認|サーバー移行,旧サーバーから退避された定例会議の簡略なメモ。進捗の共有と課題の確認が行われたことを記録している。
94,D057,あり,mtg_bk_05.docx,62,5,0,0,0,0,定例会議|進捗共有|課題確認|サーバー移行|ビジネスコミュニケーション,旧サーバーから移行された定例会議の簡略化されたメモです。会議において進捗の共有と課題の確認が行われたことが記録されています。
95,D058,あり,mtg_bk_06.docx,43,5,2,0,0,0,旧定例会議|進捗共有|課題確認|旧サーバー|会議メモ,旧サーバーから退避された簡略版の定例会議メモ。進捗状況の共有と課題の確認を行った記録。
96,D059,あり,mtg_bk_07.docx,54,5,1,0,0,0,定例会議|進捗共有|課題確認|プロジェクト管理|アーカイブ,旧サーバーから移行された定例会議のメモで、進捗状況の共有と課題の確認を行った記録が簡潔にまとめられています。
97,D060,あり,mtg_bk_08.docx,61,5,1,0,0,0,定例会議|進捗共有|課題確認|旧サーバー|会議メモ,旧サーバーから退避された定例会議の簡略なメモです。会議において進捗状況の共有と課題の確認が行われたことが記録されています。
98,D061,あり,mtg_bk_09.docx,65,5,1,0,0,1,旧定例会議メモ|進捗共有|課題確認|旧サーバー退避|プロジェクト管理,旧サーバーから退避された定例会議の簡略なメモです。第9回の定例会議において、進捗共有と課題確認が実施されたことが記録されています。
99,D062,あり,mtg_bk_10.docx,56,5,1,0,0,1,定例会議|進捗共有|課題確認|旧サーバー|会議メモ,旧サーバーから退避された第10回定例会議のメモです。進捗の共有と課題の確認が行われたことを簡略に記録しています。
100,D063,あり,mtg_bk_11.docx,61,5,1,0,0,1,定例会議|進捗共有|課題確認|旧サーバー|会議メモ,第11回旧定例会議のメモです。旧サーバーから退避された簡略的な記録で、進捗の共有と課題の確認が行われたことを示しています。
101,D064,あり,mtg_bk_12.docx,64,5,1,0,0,1,旧定例会議|進捗共有|課題確認|サーバー移行|データ退避,旧サーバーから退避された定例会議のメモ（第12回分）であり、進捗共有と課題確認が実施されたことを簡潔に記載したビジネス文書です。
102,X003,あり,経費精算マニュアル_2024年版(旧).pdf,73,6,2,0,0,1,経費精算|マニュアル|交通費|高額経費|立替金|2026年版,2026年度版の社内経費精算ルールをまとめたマニュアルです。精算の締め日、交通費の証憑、高額支出の事前承認、および振込日について記載されています。
103,A002,あり,20260512_mtg.docx,97,6,3,1,0,1,動画配信システム|SSLサーバー証明書|障害レビュー|システム運用|再発防止策|開発部,2026年5月12日に発生した動画配信システムの障害に関する振り返り会議の議事録です。原因がSSLサーバー証明書の期限切れであることを特定し、監視アラートの設定による再発防止策を策定しています。
104,X006,なし,工程表_PJAQUA_v1.xlsx,53,5,1,0,0,0,PJ-AQUA|工程表|マイルストーン|スケジュール管理|製品開発,プロジェクト「PJ-AQUA」における主要な開発マイルストーンの期日と進捗状況をまとめた工程管理資料です。
105,X001,あり,資料 (コピー).pptx,83,6,1,0,0,0,AQUAFLOW|浄水場|水質センサー|クラウド監視|IoT|水質管理,浄水場向けの水質センサーとクラウド監視システム「AQUAFLOW」の製品企画提案資料です。製品の機能概要、収益モデル、および開発スケジュールについて説明されています。
106,A015,なし,撮影機材取扱手順.pdf,70,6,3,0,0,0,撮影機材|取扱手順書|カメラ|レンズ|バッテリー|メンテナンス,撮影機材の適切な取り扱い方法を記した模擬文書です。機材の持ち出し手続き、バッテリーの保管条件、レンズの清掃手順について簡潔に解説しています。
107,A026,なし,機材台帳.xlsx,75,6,5,0,0,0,機材台帳|カメラ|ドローン|三脚|点検管理|資産管理,カメラ、ドローン、三脚といった機材の管理状況をまとめた台帳です。各機材の型式、台数、シリアル番号、および次回の点検予定時期が表形式で記載されています。
108,G018,あり,IMG_20260118_018.jpg,134,6,0,0,0,1,太陽光パネル|候補地|本社屋上|2026年5月|プレースホルダー|設置計画,「現場写真：太陽光パネル候補地」および「本社屋上 2026-05」というテキストが記載された、プレゼンテーション資料のプレースホルダー。グレーの矩形が写真の代わりとして配置されており、太陽光発電システムの設置検討における現場の状況を示すためのスライド構成となっている。
109,G024,あり,IMG_20260124_024.jpg,135,6,0,0,0,0,サーバー室|機械室|入口|現場写真|プレースホルダー|図解,「現場写真: サーバー室」「機械室 入口」というテキストが左上に記された、極めてシンプルな構成の画像。背景は上下でグレーとブラウンに分かれ、中央には濃い青色の長方形が配置されており、資料作成時などの写真の代わりとして使われるプレースホルダーのようなデザインとなっている。
110,G030,あり,IMG_20260130_030.jpg,109,6,0,0,0,0,現場写真|屋上|防水状況確認|報告書|メンテナンス|プレースホルダー,建物の屋上における防水状況の点検・確認を目的とした現場報告書のサンプル画像です。左上に「現場写真：屋上」「防水状況 確認」というテキストがあり、中央には写真のプレースホルダーと思われる枠線付きの長方形が描かれています。
111,G019,あり,IMG_20260219_019.jpg,57,6,0,0,1,0,倉庫B|保管棚|在庫棚|現場写真|全景|プレースホルダー,倉庫Bにおける保管棚および在庫棚の全景を記録するための、プレースホルダー画像を含んだ現場写真の管理用サンプル資料。
112,G025,あり,IMG_20260225_025.jpg,104,6,1,0,0,1,会議室|本社|現場写真|3階|プレースホルダー|レイアウト案,「現場写真：会議室」「本社3F 会議室」というテキストが左上に記載された、資料作成用のプレースホルダー画像です。中央に配置された紺色の矩形は写真の挿入箇所を示唆しており、シンプルで抽象的な構成となっています。
113,G020,あり,IMG_20260320_020.jpg,118,6,1,0,0,0,AQUAFLOW|デモ機|現場写真|正面|プレースホルダー|グラフィック,薄い青色と茶色の背景の中央にグレーの矩形が配置され、左上には「現場写真：デモ機」「AQUAFLOW デモ機 正面」と記述された画像です。製品資料やマニュアルなどの作成時に、実際の写真を入れる前の構成案を示すサンプルとして機能しています。
114,G026,あり,IMG_20260326_026.jpg,98,6,0,0,1,0,倉庫B|現場写真|外観|プレースホルダー|南側|モックアップ,「現場写真：倉庫B 外観」および「南側から撮影」というテキストが左上に記された、報告書のプレースホルダーのような簡略化された画像。中央に灰色の矩形があり、上下に分かれた色面の背景で構成されている。
115,G021,あり,IMG_20260421_021.jpg,134,7,0,0,0,0,機材庫|カメラ機材|保管状況|現場写真|報告書|プレースホルダー|スライド,「現場写真：機材庫」および「カメラ機材 保管状況」というテキストが左上に記された、報告用スライドの画像。中央には大きなグレーの長方形が配置されており、実際の現場写真の代わり、あるいはプレースホルダーとして機能している。背景は上下で色が分かれたシンプルなデザインである。
116,G027,あり,IMG_20260427_027.jpg,126,7,0,0,0,0,薬品保管庫|施錠状況の記録|現場写真|管理台帳|テンプレート|業務報告|セキュリティ管理,「現場写真：薬品保管庫」および「施錠状況の記録」というテキストが左上に配置された、業務記録用と思われる文書のテンプレートです。中央には写真などの画像を配置するための大きなグレーの矩形領域があり、背景は上下で色の分かれたシンプルなデザインになっています。
117,G016,あり,IMG_20260516_016.jpg,105,6,0,0,1,1,倉庫B|照明設備|照度不足|現場写真|報告書案|点検記録,「倉庫B 照明」および「照度不足箇所の記録 2026-06」というテキストが左上に配置された、現場調査報告書のサンプル用グラフィック。中央には写真のプレースホルダーと思われる濃いグレーの長方形が配置されている。
