task_id,測定対象,課題タイプ,質問文（ファイル名を含まない自然文）,正解ファイルID,正解ファイル名,正解ページ/シーン(該当時),正解が存在しない課題か,作成者,独立検証者,検証結果(OK/要修正/破棄),備考
T001,対象,文書・内容手がかり,SSL証明書の期限切れが原因で起きた障害の振り返り資料を探して,A002,20260512_mtg.docx,,いいえ,Claude（起案）,,,ファイル名は日付のみ（乖離）
T002,対象,文書・内容手がかり,配送実験で燃料費がどれだけ削減できたかの報告書はどれ？,A023,TSUBAME実証実験_結果報告.docx,,いいえ,Claude（起案）,,,
T003,対象,文書・内容手がかり,センサーの納期が6月末になると報告された会議の議事録を探して,A001,新しいMicrosoft Word 文書 (3).docx,,いいえ,Claude（起案）,,,ファイル名完全乖離
T004,対象,文書・内容手がかり,アオバ物流との契約で支払サイトを定めた書類はどれ？,A031,業務委託基本契約_アオバ物流_模擬.pdf,,いいえ,Claude（起案）,,,
T005,対象,文書・内容手がかり,ドローン点検の市場規模予測が載っている資料は？,A019,ドローン点検市場調査報告_2026.docx,,いいえ,Claude（起案）,,,
T006,対象,文書・内容手がかり,顧客満足度調査でNPSがいくつだったか分かる資料を探して,A020,顧客満足度調査_2026上期_報告.docx,,いいえ,Claude（起案）,,,
T007,対象,文書・内容手がかり,見積書をメールで誤送信した件の報告書はどれ？,A021,インシデント報告_20260603.docx,,いいえ,Claude（起案）,,,
T008,対象,文書・内容手がかり,倉庫の照明をLEDに交換する期限が決まった会議の記録は？,A004,安全衛生委員会議事録_2026年6月.docx,,いいえ,Claude（起案）,,,
T009,対象,文書・内容手がかり,メンター手当の金額が書かれた企画資料を探して,A008,新人研修制度企画_2027年度.pptx,,いいえ,Claude（起案）,,,
T010,対象,文書・内容手がかり,CO2削減の数値目標が書かれた資料はどれ？,A010,環境施策ロードマップ.pptx,,いいえ,Claude（起案）,,,
T011,対象,文書・内容手がかり,ミカド精機の工場監査で出た是正要求の内容が分かる資料は？,A022,工場監査報告_ミカド精機_2026.docx,,いいえ,Claude（起案）,,,
T012,対象,文書・内容手がかり,アオバ物流の窓口担当者の名前が分かる引き継ぎ資料を探して,A024,伊藤引継メモ.docx,,いいえ,Claude（起案）,,,
T013,対象,文書・内容手がかり,ブランドカラーの色コードが載っている資料はどれ？,A016,ブランドガイドライン_v3.pdf,,いいえ,Claude（起案）,,,
T014,対象,文書・内容手がかり,ファイルサーバーの保守切れ時期とリプレース見積額が分かる資料は？,A005,システム更改検討会_第2回.docx,,いいえ,Claude（起案）,,,
T015,対象,文書・内容手がかり,倉庫Bの月額賃料が分かる契約書を探して,A034,倉庫B賃貸借契約_模擬.pdf,,いいえ,Claude（起案）,,,
T016,対象,文書・ページ到達,KODAMAのAPI仕様書で、レート制限について書かれたページを開いて,A011,kodama_api_v0.9_draft_old.pdf,6ページ（5章 レート制限）,いいえ,Claude（起案）,,,
