task_id,質問文,課題種別,正解件数,A_NFC_Top1,A_NFC_R@10,A_NFC_MRR,A_NFC_ゼロ件,A_NFC_圏外,A_NFC_上位10件,A_NFD_Top1,A_NFD_R@10,A_NFD_MRR,A_NFD_ゼロ件,A_NFD_圏外,A_NFD_上位10件,C1_Top1,C1_R@10,C1_MRR,C1_ゼロ件,C1_圏外,C1_上位10件,C2_Top1,C2_R@10,C2_MRR,C2_ゼロ件,C2_圏外,C2_上位10件,C3_NFC_Top1,C3_NFC_R@10,C3_NFC_MRR,C3_NFC_ゼロ件,C3_NFC_圏外,C3_NFC_上位10件,C3_NFD_Top1,C3_NFD_R@10,C3_NFD_MRR,C3_NFD_ゼロ件,C3_NFD_圏外,C3_NFD_上位10件
T001,SSL証明書の期限切れが原因で起きた障害の振り返り資料を探して,通常,1,0,0.0,0.0,0,1,,0,0.0,0.0,0,1,,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,A002,0,1.0,0.5,0,0,A005|A002|D007|A022|A033|A008|A035|D022|D023|D024,0,1.0,0.5,0,0,A005|A002|D007|A022|A033|A008|A035|D022|D023|D024
T002,配送実験で燃料費がどれだけ削減できたかの報告書はどれ？,通常,1,0,0.0,0.0,1,1,,0,0.0,0.0,1,1,,0,0.0,0.0,0,1,G021|G030,1,1.0,1.0,0,0,A023|A007,0,1.0,0.25,0,0,A007|A010|A021|A023|D023|D009|D018|A022|D017|D015,0,1.0,0.25,0,0,A007|A010|A021|A023|D023|D009|D018|A022|D017|D015
T003,センサーの納期が6月末になると報告された会議の議事録を探して,通常,1,0,0.0,0.0,0,1,,0,0.0,0.0,0,1,,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,A001,0,1.0,0.5,0,0,G014|A001|D007|A004|G007|A021|D002|A038|D022|A030,0,1.0,0.5,0,0,G014|A001|D007|A004|G007|A021|D002|A038|D022|A030
T004,アオバ物流との契約で支払サイトを定めた書類はどれ？,通常,1,0,1.0,0.2,0,0,,0,1.0,0.3333,0,0,,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,A031|A024|D035|D026|D032|D027,0,1.0,0.1429,0,0,A027|A033|A003|A032|A023|A034|A031|A024,0,1.0,0.3333,0,0,A007|A033|A031|A032|A034|A024
T005,ドローン点検の市場規模予測が載っている資料は？,通常,1,0,0.0,0.0,0,1,,1,1.0,1.0,0,0,,0,0.0,0.0,0,1,X004,0,1.0,0.5,0,0,X004|A019,1,1.0,1.0,0,0,A019|D007|A008|A035|D022|D023|D024|D021|D019|D011,1,1.0,1.0,0,0,A019|D007|A008|A035|D022|D023|D024|D021|D019|D011
T006,顧客満足度調査でNPSがいくつだったか分かる資料を探して,通常,1,1,1.0,1.0,0,0,,1,1.0,1.0,0,0,,1,1.0,1.0,0,0,A020,1,1.0,1.0,0,0,A020,1,1.0,1.0,0,0,A020|D007|A008|A035|D022|D023|D024|D021|D019|D011,1,1.0,1.0,0,0,A020|D007|A008|A035|D022|D023|D024|D021|D019|D011
T007,見積書をメールで誤送信した件の報告書はどれ？,通常,1,0,0.0,0.0,1,1,,0,0.0,0.0,1,1,,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,A021,1,1.0,1.0,0,0,A021|D023|D009|D018|A022|D017|D015|D003|A019|G016,1,1.0,1.0,0,0,A021|D023|D009|D018|A022|D017|D015|D003|A019|G016
T008,倉庫の照明をLEDに交換する期限が決まった会議の記録は？,通常,1,0,1.0,0.1667,0,0,,0,1.0,0.1667,0,0,,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,A004|G016,0,1.0,0.5,0,0,G005|A004|A005|G003|G016|A022|D002|D019|G001|A018,0,1.0,0.5,0,0,G005|A004|A005|G003|G016|A022|D002|D019|G001|A018
T009,メンター手当の金額が書かれた企画資料を探して,通常,1,0,0.0,0.0,1,1,,0,0.0,0.0,1,1,,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,A008,0,1.0,0.5,0,0,D033|A008|D027|D035|D034|D032|D031|D029|D028|D026,0,1.0,0.5,0,0,D033|A008|D027|D035|D034|D032|D031|D029|D028|D026
T010,CO2削減の数値目標が書かれた資料はどれ？,通常,1,0,0.0,0.0,0,1,,0,0.0,0.0,0,1,,1,1.0,1.0,0,0,A010,1,1.0,1.0,0,0,A010|A007,0,0.0,0.0,0,1,D007|A008|A035|D022|D023|D024|D021|D019|D011|D012,0,0.0,0.0,0,1,D007|A008|A035|D022|D023|D024|D021|D019|D011|D012
